bangmok_id,sillok_id
G002+AKS-KHF_12AD8CC218FFFFU9999X2,M_0000141
G002+AKS-KHF_12AD8CC218FFFFU9999X3,M_0000142
G002+AKS-KHF_12AD8CC219FFFFB1608X0,M_0000143
G002+AKS-KHF_12AD8CC219FFFFB1846X0,M_0000144
G002+AKS-KHF_12AD8CC22DFFFFB1721X0,M_0000145
G002+AKS-KHF_12AD8CC2E0FFFFB1689X0,M_0000148
G002+AKS-KHF_12AD8CC2ECFFFFB1580X0,M_0000149
G002+AKS-KHF_12AD8CC57DFFFFU9999X0,M_0000150
G002+AKS-KHF_12AD8CC5B5FFFFB1587X0,M_0000151
G002+AKS-KHF_12AD8CC5FDFFFFB1673X0,M_0000153
G002+AKS-KHF_12AD8CC601FFFFB1678X0,M_0000154
G002+AKS-KHF_12AD8CC601FFFFB1710X0,M_0000155
G002+AKS-KHF_12AD8CC601FFFFB1741X0,M_0000156
G002+AKS-KHF_12AD8CC608FFFFB1495X0,M_0000157
G002+AKS-KHF_12AD8CC624FFFFB1602X0,M_0000158
G002+AKS-KHF_13AC15C81CB85CU9999X0,M_0000993
G002+AKS-KHF_12AD8CC6A9FFFFB1515X0,M_0000161
G002+AKS-KHF_12AD8CC720FFFFB1633X0,M_0000164
G002+AKS-KHF_12AD8CC720FFFFB1730X0,M_0000165
G002+AKS-KHF_12AD8CB958FFFFU9999X0,M_0000166
G002+AKS-KHF_12AD8CC728FFFFB1537X0,M_0000167
G002+AKS-KHF_12AD8CC758FFFFU9999X0,M_0000169
G002+AKS-KHF_12AD8CC7A5FFFFB1489X0,M_0000171
G002+AKS-KHF_12AD8CC804FFFFB1490X0,M_0000173
G002+AKS-KHF_12AD8CC808FFFFB1422X0,M_0000175
G002+AKS-KHF_12AD8CC815FFFFU9999X0,M_0000176
G002+AKS-KHF_12AD8CC9D5FFFFB1538X0,M_0000197
G002+AKS-KHF_12AD8CC81CFFFFB1387X0,M_0000177
G002+AKS-KHF_12AD8CC81CFFFFU9999X0,M_0000178
G002+AKS-KHF_12AD8CC8FCFFFFB1457X0,M_0000180
G002+AKS-KHF_12AD8CC8FCFFFFB1458X0,M_0000181
G002+AKS-KHF_12AD8CC900FFFFB1758X0,M_0000184
